name,prefecture_code,address,access,description,period,checkin,checkout,phone,contact_link
しょうぶ谷キャンプ場,40,福岡県北九州市若松区小石,北九州都市高速若戸出口ICから若戸大橋を渡り若松区へ。国道495号で芦屋方面へ進み、一般道を経由して現地。,・テントサイト　25張分 ・炊事棟、トイレ、ファイヤーサークル、野外炉、駐車場18台分,通年営業,フリー,フリー,093-771-5136,https://www.city.kitakyushu.lg.jp/ko-katei/11901008.html
北山キャンプ場,41,佐賀県佐賀市富士町関屋,,・サイト数60,通年営業,12：00,11:00,0952-56-2922,https://www.sagabai.com/main/?cont=kanko&fid=3
直方オートキャンプ場,40,福岡県直方市新町先,・九州自動車道八幡東ICから国道200号線で直方市方面へ進む。日の出橋渡り左折すると直方市役所・直方警察署が見え、その左側河川敷が現。,"・オートサイト　15区画
・水場、トイレ、芝生広場",通年営業,フリー,フリー,0949-25-2200,https://www.city.nogata.fukuoka.jp/kanko/_1226/_1757.html
大賀キャンプ場,42,長崎県平戸市大島村西宇戸,平戸桟橋からフェリーに乗船し45分　的山港から車で約15分,"・フリーサイト
・炊事場
・休憩棟",通年営業,フリー,フリー,0950-55-2511,https://www.city.hirado.nagasaki.jp/kurashi/gyosei/city/facilities/fct07.html
天の原キャンプ場,42,長崎県平戸市大島村大根坂,平戸桟橋からフェリーに乗船し45分　的山港から車で約15分,"・フリーサイト
・炊事場
・トイレ",通年営業,フリー,フリー,0950-22-4111,https://www.hirado-net.com/?post_type=tourism&p=7274
シンリ浜海浜公園,47,沖縄県島尻郡久米島町大原南開113,久米島兼城港から県道89号で久米島空港方面へ進み、県道245号に入り現。久米島兼城港から5km,トイレなど,通年営業,フリー,フリー,098-985-7126,http://www.town.kumejima.okinawa.jp/docs/2020012900097/
立岡自然公園キャンプ場,43,熊本県宇土市花園町523-2,九州自動車道松橋ICから国道218号・3号で宇土方面へ進み、一般道で宇土市スポーツセンター目指し現へ。松橋ICから6km,,通年営業,"8:30〜21:30 ",フリー,0964-22-1119,https://www.city.uto.lg.jp/article/view/1098/1314.html
大平渓谷キャンプ場（現在休止中）,43,熊本県球磨郡錦町木上南8-1,熊本県球磨郡錦町木上南８－１0966-38-4419通年無休インフリー、アウトフリー九州自動車道人吉ICから人吉市街経由で国道219号湯前方面へ。県道43号右折、大平渓谷目標に現。人吉ICから17km,キャンプサイト、トイレなど,通年営業,フリー,フリー,0966-38-4419,http://www.nishiki-machi.com/bunya/ohira/
小岱山ふるさと自然公園丸山キャンプ場,43,熊本県玉名市小袋1512-62,,,通年営業,フリー,フリー,0968-73-3900,http://t-siminkaikan.jp/camp.html
一本松農村公園キャンプ場,43,熊本県山鹿市鹿本町高橋,JR熊本駅から産交バス来民経由山鹿行きで1時間20分、鹿本総合支所前下車、徒歩20分,,通年営業,フリー,フリー,0968-46-5841,https://kumamoto.guide/spots/detail/11156
グリーンスポーツみなまた,43,熊本県水俣市袋西の浦2884,南九州自動車道芦北ICから県道27号、国道3号で出水方面へ。水俣市街の先、新栄合板工場のある交差点で右折して約2km。芦北ICから30km,トイレ、ちびっこ広場、シャワー,通年営業,フリー,デイキャンプのみ,0966-83-9700,https://www.city.minamata.lg.jp/kiji0032265/index.html
仁比山キャンプ場,41,佐賀県神埼郡神崎町城原一本松３７１１番１４５６,電車／JR「神崎駅」よりバスで10分（仁比山神社前）,"キャンプ場内への車両乗り入れはできません（用具の積み降ろし時のみ乗り入れ可）。

車両は公園駐車場へお駐めください。なお、夜間（原則22：30〜6：00。多少の前後あり）、公園駐車場は施錠しますので、車両の出入りはできません。

キャンプおよびバーベキューで出たゴミは持ち帰り、処分いただきますようお願いします。",通年営業,フリー,フリー,0952-53-0011,https://www.city.kanzaki.saga.jp/main/462.html
円山公園キャンプ場,46,鹿児島県肝属郡東串良町東洲崎,"鹿児島県肝属郡東串良町川西1543
東串良町役場",フリーサイト,通年営業,フリー,フリー,099-435-1881,http://www.higashikushira.com/docs/2021052600039/
大泊キャンプ場,46,鹿児島県肝属郡南大隅町佐多馬籠大泊,南大隅町役場佐多支所より１１ｋｍ,"テント　30サイト
フリーサイト",通年営業,フリー,フリー,0994-24-3115,http://www.pref.kagoshima.jp/ac06/pr/kinkowan/spot/pl_kkyanpu5.html
前之浜海浜公園,46,鹿児島県熊毛郡南種子町前之浜,南種子町役場より７．５ｋｍ,フリーサイト,通年営業,フリー,フリー,0997-26-1111,http://www.town.minamitane.kagoshima.jp/life/shisetsuyoyaku.html
ヤドリ浜キャンプ場,46,鹿児島県大島郡瀬戸内町ヤドリ浜,"名瀬港から国道58号で瀬戸内町へ。県道626号に入り海沿いに進む。・奄美空港から約2時間
・名瀬港から約1時間20分
・古仁屋から車で約15分","サイト数・状況	オートフリー約10台収容、サイトは芝生
場内施設	炊事棟、トイレ、水シャワー",通年営業,フリー,フリー,0997-72-1199,https://www.amami-tourism.org/scenery/807/
萩尾公園キャンプ場,44,大分県日田市二串1335-1,【電車】JR久大本線光岡駅から3km。【車】大分自動車道日田ICから5km,"テント専用10張
自由広場、ソフトボール場、遊園広場、レストハウス",シーズン営業7月下旬～8月末,16:00,14:00,0973-22-8217,https://www.city.hita.oita.jp/soshiki/doboku/toshiseibika/koenryokuchi/koen/3362.html
